user,test - Copy.txt,38
user,test2 - Copy.txt,78
user,test4 - Copy.txt,78
user,test4 - Copy.txt,78
user,test4 - Copy (3).txt,78
user,test4 - Copy (3).txt,78
user,test4 - Copy (3).txt,78
user,test - Copy.txt,38
user,test - Copy (2).txt,38
user,test4 - Copy.txt,78
user,test4 - Copy.txt,78
user,test - Copy (3).txt,38
user,test - Copy (3).txt,38
user,test - Copy (3).txt,38
user,test - Copy (3).txt,38
user,test - Copy (3).txt,38
user,test4 - Copy.txt,78
user,test4 - Copy.txt,78
user,test2 - Copy - Copy.txt,78
user,test2 - Copy (2).txt,78
user,test - Copy.txt,38
user,test2 - Copy (2).txt,78
user,test4 - Copy.txt,78
user,test4 - Copy.txt,78
user,test4 - Copy.txt,78
user,test - Copy.txt,38
user,test4 - Copy.txt,78
user,test4 - Copy (2).txt,78
user,test4 - Copy (3).txt,78
user,test4 - Copy (3).txt,78
user,test4 - Copy.txt,78
user,test4 - Copy (3).txt,78
user,test4 - Copy (3).txt,78
user,test4 - Copy (4).txt,78
user,test4 - Copy (4).txt,78
user,test10 - Copy.txt,118
user,test10 - Copy.txt,118
user,test10 - Copy.txt,0
user,test10 - Copy.txt,0
user,test10 - Copy.txt,0
user,test9 - Copy - Copy.txt,0
user,test10 - Copy.txt,0
user,test10 - Copy.txt,-906
user,test10 - Copy.txt,0
user,test10 - Copy.txt,0
user,test10 - Copy (2).txt,0
user,test10 - Copy (3).txt,0
user,test10 - Copy (3).txt,0
user,test8 - Copy.txt,-946
user,test10 - Copy.txt,-906
user,test6 - Copy.txt,-946
user,test9 - Copy.txt,-946
user,test10 - Copy - Copy (2).txt,0
user,test10 - Copy - Copy (3).txt,0
user,test9 - Copy (2).txt,0
user,test9 - Copy (2).txt,0
user,test9 - Copy (2).txt,0
user,test10 - Copy (2).txt,0
user,test10 - Copy.txt,0
user,test10 - Copy (2).txt,0
user,test9 - Copy.txt,0
user,test9 - Copy.txt,0
user,test9 - Copy.txt,0
user,test10 - Copy (2).txt,0
user,test9 - Copy (2).txt,0
user,test9 - Copy (2).txt,0
